tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,peak_search
tt0944947,tvSeries,Game of Thrones,Game of Thrones,0,2011.0,2019.0,60,"Action,Adventure,Drama",9.2,2611033,100.0
tt4574334,tvSeries,Stranger Things,Stranger Things,0,2016.0,2025.0,60,"Drama,Fantasy,Horror",8.6,1696143,100.0
tt1520211,tvSeries,The Walking Dead,The Walking Dead,0,2010.0,2022.0,45,"Drama,Horror,Thriller",8.1,1194752,100.0
tt1475582,tvSeries,Sherlock,Sherlock,0,2010.0,2017.0,90,"Crime,Drama,Mystery",9.0,1087604,100.0
tt1190634,tvSeries,The Boys,The Boys,0,2019.0,2026.0,60,"Action,Comedy,Crime",8.6,862839,100.0
tt3032476,tvSeries,Better Call Saul,Better Call Saul,0,2015.0,2022.0,45,"Crime,Drama",9.0,832588,100.0
tt2442560,tvSeries,Peaky Blinders,Peaky Blinders,0,2013.0,2022.0,60,"Crime,Drama",8.7,774225,100.0
tt10919420,tvSeries,Squid Game,Ojing-eo geim,0,2021.0,2025.0,60,"Action,Crime,Drama",7.9,759230,100.0
tt2356777,tvSeries,True Detective,True Detective,0,2014.0,,60,"Crime,Drama,Mystery",8.8,754142,100.0
tt2085059,tvSeries,Black Mirror,Black Mirror,0,2011.0,,60,"Crime,Drama,Mystery",8.7,736658,100.0
tt3581920,tvSeries,The Last of Us,The Last of Us,0,2023.0,,50,"Action,Adventure,Drama",8.5,735572,100.0
tt2560140,tvSeries,Attack on Titan,Shingeki no kyojin,0,2013.0,2023.0,24,"Action,Adventure,Animation",9.1,712492,100.0
tt2861424,tvSeries,Rick and Morty,Rick and Morty,0,2013.0,,23,"Adventure,Animation,Comedy",9.0,693611,100.0
tt8111088,tvSeries,The Mandalorian,The Mandalorian,0,2019.0,2023.0,40,"Action,Adventure,Fantasy",8.6,652777,100.0
tt2306299,tvSeries,Vikings,Vikings,0,2013.0,2020.0,45,"Action,Adventure,Drama",8.5,641115,100.0
tt5180504,tvSeries,The Witcher,The Witcher,0,2019.0,,60,"Action,Adventure,Drama",7.8,619950,100.0
tt6468322,tvSeries,Money Heist,La casa de papel,0,2017.0,2021.0,60,"Action,Crime,Drama",8.2,605717,100.0
tt1856010,tvSeries,House of Cards,House of Cards,0,2013.0,2018.0,50,"Drama,Thriller",8.6,559102,100.0
tt0475784,tvSeries,Westworld,Westworld,0,2016.0,2022.0,60,"Drama,Mystery,Sci-Fi",8.4,557577,100.0
tt5753856,tvSeries,Dark,Dark,0,2017.0,2020.0,60,"Crime,Drama,Mystery",8.7,543759,100.0
tt1632701,tvSeries,Suits,Suits,0,2011.0,2019.0,45,"Comedy,Drama",8.4,539032,100.0
tt3322312,tvSeries,Daredevil,Daredevil,0,2015.0,2018.0,60,"Action,Crime,Drama",8.6,529988,100.0
tt2707408,tvSeries,Narcos,Narcos,0,2015.0,2017.0,50,"Biography,Crime,Drama",8.7,527082,100.0
tt11198330,tvSeries,House of the Dragon,House of the Dragon,0,2022.0,,60,"Action,Adventure,Drama",8.3,524930,100.0
tt13443470,tvSeries,Wednesday,Wednesday,0,2022.0,,45,"Comedy,Crime,Fantasy",8.0,495843,100.0
tt9140554,tvSeries,Loki,Loki,0,2021.0,2023.0,50,"Action,Adventure,Fantasy",8.2,471654,100.0
tt2802850,tvSeries,Fargo,Fargo,0,2014.0,2024.0,60,"Crime,Drama,Thriller",8.8,468511,100.0
tt4158110,tvSeries,Mr. Robot,Mr. Robot,0,2015.0,2019.0,45,"Crime,Drama,Thriller",8.5,466995,100.0
tt2193021,tvSeries,Arrow,Arrow,0,2012.0,2020.0,42,"Action,Adventure,Crime",7.5,460790,100.0
tt11126994,tvSeries,Arcane,Arcane: League of Legends,0,2021.0,2024.0,40,"Action,Adventure,Animation",9.0,442771,100.0
tt10986410,tvSeries,Ted Lasso,Ted Lasso,0,2020.0,,30,"Comedy,Drama,Sport",8.7,441675,100.0
tt7631058,tvSeries,The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,0,2022.0,,60,"Action,Adventure,Drama",6.9,438848,100.0
tt2467372,tvSeries,Brooklyn Nine-Nine,Brooklyn Nine-Nine,0,2013.0,2021.0,22,"Comedy,Crime",8.4,416145,100.0
tt7767422,tvSeries,Sex Education,Sex Education,0,2019.0,2023.0,60,"Comedy,Drama,Romance",8.2,397371,100.0
tt5290382,tvSeries,Mindhunter,Mindhunter,0,2017.0,2019.0,60,"Crime,Drama,Mystery",8.6,395935,100.0
tt4052886,tvSeries,Lucifer,Lucifer,0,2016.0,2021.0,45,"Crime,Drama,Fantasy",8.0,391796,100.0
tt5071412,tvSeries,Ozark,Ozark,0,2017.0,2022.0,60,"Crime,Drama,Thriller",8.4,391648,100.0
tt12637874,tvSeries,Fallout,Fallout,0,2024.0,,60,"Action,Adventure,Drama",8.3,390751,100.0
tt11280740,tvSeries,Severance,Severance,0,2022.0,,50,"Drama,Mystery,Sci-Fi",8.6,387326,100.0
tt3107288,tvSeries,The Flash,The Flash,0,2014.0,2023.0,43,"Action,Adventure,Drama",7.5,385288,100.0
tt1796960,tvSeries,Homeland,Homeland,0,2011.0,2020.0,60,"Crime,Drama,Mystery",8.3,384236,100.0
tt7335184,tvSeries,You,You,0,2018.0,2025.0,45,"Crime,Drama,Romance",7.6,366883,100.0
tt1844624,tvSeries,American Horror Story,American Horror Story,0,2011.0,,60,"Drama,Horror,Sci-Fi",7.9,361936,100.0
tt7660850,tvSeries,Succession,Succession,0,2018.0,2023.0,60,"Comedy,Drama",8.8,355191,100.0
tt1837492,tvSeries,13 Reasons Why,13 Reasons Why,0,2017.0,2020.0,60,"Drama,Mystery,Thriller",7.4,339286,100.0
tt2372162,tvSeries,Orange Is the New Black,Orange Is the New Black,0,2013.0,2019.0,60,"Comedy,Crime,Drama",8.0,336152,100.0
tt6741278,tvSeries,Invincible,Invincible,0,2021.0,,50,"Action,Adventure,Animation",8.7,333304,100.0
